Date,Card Type,Product,Site No,Quantity,Unit Price,Cost,,
20/12/2024,BP BUNKER,BP CLEANER DIESEL,159104,54.97,1.190831,65.46,truck33,
20/12/2024,BP BUNKER,BP AD BLUE,159104,27.19,1.46598,39.86,truck33,
20/12/2024,UK FUELS,DIESEL,10118,61.11,1.091474,66.7,truck46,
19/12/2024,UK FUELS,DIESEL,8945,100.01,1.091391,109.15,truck50,
17/12/2024,BP BUNKER,BP AD BLUE,450511,26.91,1.264586,34.03,truck54,
17/12/2024,BP BUNKER,BP CLEANER DIESEL,450511,252.35,1.190806,300.5,truck54,
17/12/2024,UK FUELS,DIESEL (TP),6675,237.64,1.091399,259.36,truck50,
16/12/2024,BP BUNKER,BP CLEANER DIESEL,153308,145,1.190828,172.67,truck40,
16/12/2024,BP BUNKER,BP AD BLUE,153308,52.43,1.465764,76.85,truck40,
13/12/2024,BP BUNKER,BP CLEANER DIESEL,158808,200,1.194,238.8,truck40,
13/12/2024,UK FUELS,DIESEL (TP),9715,17.87,1.090095,19.48,truck31,
11/12/2024,BP BUNKER,BP CLEANER DIESEL,159003,253,1.193992,302.08,truck40,
11/12/2024,UK FUELS,DIESEL (TP),6964,300.01,1.090097,327.04,truck50,
11/12/2024,BP BUNKER,BP CLEANER DIESEL,158909,183.24,1.194008,218.79,truck33,
09/12/2024,BP BUNKER,BP CLEANER DIESEL,003432,201.77,1.193983,240.91,truck33,
09/12/2024,BP BUNKER,BP AD BLUE,003432,17.63,1.419739,25.03,truck33,
09/12/2024,BP BUNKER,BP CLEANER DIESEL,273101,272.01,1.194,324.78,truck46,
09/12/2024,UK FUELS,DIESEL,8944,100.03,1.090073,109.04,truck20,
09/12/2024,BP BUNKER,BP CLEANER DIESEL,273303,174.96,1.193987,208.9,truck34,
09/12/2024,BP BUNKER,BP AD BLUE,273303,33.82,1.465701,49.57,truck34,
06/12/2024,UK FUELS,DIESEL,0460,190.04,1.100084,209.06,truck27,
05/12/2024,BP BUNKER,BP AD BLUE,309202,41.2,0.907524,37.39,truck40,
05/12/2024,BP BUNKER,BP CLEANER DIESEL,309202,205.02,1.204322,246.91,truck40,
04/12/2024,BP BUNKER,BP CLEANER DIESEL,159104,155.92,1.204271,187.77,truck33,
04/12/2024,BP BUNKER,BP AD BLUE,159104,33.34,1.465807,48.87,truck33,
02/12/2024,BP BUNKER,BP CLEANER DIESEL,276201,214.78,1.204302,258.66,truck54,
02/12/2024,BP BUNKER,BP AD BLUE,276201,23.14,1.824114,42.21,truck54,
02/12/2024,BP BUNKER,BP CLEANER DIESEL,159104,176.03,1.204283,211.99,truck20,
29/11/2024,UK FUELS,DIESEL (TP),10308,150.01,1.119525,167.94,truck46,
28/11/2024,BP BUNKER,BP CLEANER DIESEL,158808,175.31,1.210313,212.18,truck34,
27/11/2024,BP BUNKER,BP CLEANER DIESEL,031105,100.52,1.210306,121.66,truck33,
27/11/2024,BP BUNKER,BP CLEANER DIESEL,851643,285,1.210316,344.94,truck46,
26/11/2024,UK FUELS,DIESEL (TP),10178,233.37,1.11951,261.26,truck41,
25/11/2024,UK FUELS,DIESEL (TP),9697,300,1.107,332.1,truck45,
25/11/2024,BP BUNKER,BP CLEANER DIESEL,003491,152.02,1.210301,183.99,truck46,
25/11/2024,BP BUNKER,BP CLEANER DIESEL,275208,150.12,1.210298,181.69,truck20,
25/11/2024,BP BUNKER,BP CLEANER DIESEL,156004,225.73,1.210295,273.2,truck33,
22/11/2024,UK FUELS,DIESEL (TP),10308,235,1.109617,260.76,truck46,
22/11/2024,BP BUNKER,BP CLEANER DIESEL,158808,132.34,1.199335,158.72,truck41,
20/11/2024,BP BUNKER,BP CLEANER DIESEL,268604,280.08,1.1993,335.9,truck8,
20/11/2024,BP BUNKER,BP CLEANER DIESEL,354050,150,1.199333,179.9,truck27,
19/11/2024,UK FUELS,DIESEL,9309,309.94,1.097116,340.04,truck50,
19/11/2024,UK FUELS,DIESEL,0460,100.67,1.097149,110.45,truck41,
15/11/2024,BP BUNKER,BP CLEANER DIESEL,159003,227.5,1.196703,272.25,truck34,
14/11/2024,BP BUNKER,BP CLEANER DIESEL,003373,246.03,1.196683,294.42,truck46,
14/11/2024,BP BUNKER,BP CLEANER DIESEL,010913,150.08,1.196695,179.6,truck8,
13/11/2024,UK FUELS,DIESEL (TP),6675,312.47,1.090313,340.69,truck50,
13/11/2024,BP BUNKER,BP CLEANER DIESEL,354050,141.43,1.196705,169.25,truck27,
11/11/2024,BP BUNKER,BP CLEANER DIESEL,003432,190.03,1.196706,227.41,truck34,
08/11/2024,BP BUNKER,BP CLEANER DIESEL,280705,303.01,1.174912,356.01,truck35,
08/11/2024,UK FUELS,DIESEL (TP),11630,69.91,1.080532,75.54,truck41,
08/11/2024,BP BUNKER,BP CLEANER DIESEL,280705,155,1.174903,182.11,truck40,
07/11/2024,UK FUELS,DIESEL (TP),11630,14.11,1.080794,15.25,truck31,
07/11/2024,BP BUNKER,BP CLEANER DIESEL,305705,200.2,1.174875,235.21,truck35,
06/11/2024,UK FUELS,DIESEL (TP),6675,284.67,1.080514,307.59,truck50,
05/11/2024,BP BUNKER,BP CLEANER DIESEL,015925,300,1.1749,352.47,truck5,
31/10/2024,BP BUNKER,BP CLEANER DIESEL,036629,244.96,1.173008,287.34,truck8,
31/10/2024,UK FUELS,DIESEL (TP),6964,250,1.0804,270.1,truck50,
31/10/2024,BP BUNKER,BP CLEANER DIESEL,167723,250.01,1.172993,293.26,truck46,
30/10/2024,BP BUNKER,BP CLEANER DIESEL,010913,363.6,1.172992,426.5,truck5,
29/10/2024,UK FUELS,DIESEL,9309,271,1.080406,292.79,truck50,
28/10/2024,BP BUNKER,BP CLEANER DIESEL,092016,163.27,1.173026,191.52,truck54,
