DATE,LITRES,REG,Country,Type
02/01/2024,67.31,truck32,GB,HVO
02/01/2024,45.97,truck29,GB,HVO
02/01/2024,52.02,truck24,GB,HVO
02/01/2024,236.74,truck6,GB,HVO
02/01/2024,329.21,truck4,GB,HVO
02/01/2024,304.32,0,GB,HVO
02/01/2024,34.75,truck29,GB,HVO
02/01/2024,446.03,truck12,GB,HVO
02/01/2024,45.17,0,GB,HVO
02/01/2024,195.35,truck3,GB,HVO
03/01/2024,248.36,truck17,GB,HVO
03/01/2024,208.28,truck9,GB,HVO
03/01/2024,216.57,truck23,GB,HVO
03/01/2024,260.05,truck35,GB,HVO
03/01/2024,25.3,truck30,GB,HVO
03/01/2024,186.77,truck39,GB,HVO
03/01/2024,208.33,truck21,GB,HVO
03/01/2024,29.63,truck32,GB,HVO
03/01/2024,27.45,truck24,GB,HVO
03/01/2024,109.77,truck34,GB,HVO
03/01/2024,118.78,truck13,GB,HVO
03/01/2024,270.55,truck41,GB,HVO
03/01/2024,351.6,0,GB,HVO
03/01/2024,200.03,truck14,GB,HVO
03/01/2024,129.5,truck22,GB,HVO
03/01/2024,102.98,truck21,GB,HVO
03/01/2024,61.35,truck29,GB,HVO
03/01/2024,60.11,0,GB,HVO
03/01/2024,166.36,truck27,GB,HVO
04/01/2024,307.16,truck43,GB,HVO
04/01/2024,127.12,truck23,GB,HVO
04/01/2024,58.01,truck24,GB,HVO
04/01/2024,50.38,truck30,GB,HVO
04/01/2024,130.07,truck34,GB,HVO
04/01/2024,35.25,truck32,GB,HVO
04/01/2024,165.09,truck20,GB,HVO
04/01/2024,321.76,truck7,GB,HVO
04/01/2024,236.3,truck9,GB,HVO
04/01/2024,246.38,truck25,GB,HVO
04/01/2024,317.42,truck15,GB,HVO
04/01/2024,49.02,truck29,GB,HVO
04/01/2024,185.3,truck33,GB,HVO
04/01/2024,130.24,truck27,GB,HVO
04/01/2024,91.78,truck22,GB,HVO
04/01/2024,300.08,truck35,GB,HVO
04/01/2024,265.19,truck17,GB,HVO
05/01/2024,224.19,truck39,GB,HVO
05/01/2024,72.77,truck31,GB,HVO
05/01/2024,56.61,truck32,GB,HVO
05/01/2024,113.11,truck34,GB,HVO
05/01/2024,40.93,truck30,GB,HVO
05/01/2024,238.95,truck40,GB,HVO
05/01/2024,72.04,truck24,GB,HVO
05/01/2024,289.99,truck41,GB,HVO
05/01/2024,87.94,truck4,GB,HVO
05/01/2024,220.01,truck14,GB,HVO
05/01/2024,285.01,truck8,GB,HVO
05/01/2024,307.45,truck13,GB,HVO
05/01/2024,93.48,truck25,GB,HVO
05/01/2024,89.63,truck27,GB,HVO
05/01/2024,87.87,truck28,GB,HVO
05/01/2024,223.99,truck23,GB,HVO
05/01/2024,213.63,truck21,GB,HVO
05/01/2024,90.19,truck22,GB,HVO
05/01/2024,220,truck45,GB,HVO
05/01/2024,120.96,truck33,GB,HVO
05/01/2024,57.79,0,GB,HVO
07/01/2024,263.01,truck10,GB,HVO
08/01/2024,54.78,truck30,GB,HVO
08/01/2024,241.84,truck3,GB,HVO
08/01/2024,188.19,truck40,GB,HVO
08/01/2024,280.01,truck26,GB,HVO
08/01/2024,67.07,truck24,GB,HVO
08/01/2024,475.5,truck12,GB,HVO
08/01/2024,76.16,truck32,GB,HVO
08/01/2024,42.15,truck31,GB,HVO
08/01/2024,50.04,0,GB,HVO
08/01/2024,59.27,truck30,GB,HVO
08/01/2024,79.81,truck29,GB,HVO
08/01/2024,303.72,truck1,GB,HVO
08/01/2024,38.52,0,GB,HVO
08/01/2024,186.59,truck34,GB,HVO
08/01/2024,100.13,truck20,GB,HVO
08/01/2024,150.05,truck21,GB,HVO
09/01/2024,352.59,truck43,GB,HVO
09/01/2024,316.49,truck44,GB,HVO
09/01/2024,125.4,truck22,GB,HVO
09/01/2024,193.03,truck39,GB,HVO
09/01/2024,36.44,truck24,GB,HVO
09/01/2024,120.49,truck33,GB,HVO
09/01/2024,60.64,truck31,GB,HVO
09/01/2024,50.83,truck32,GB,HVO
09/01/2024,126.68,truck40,GB,HVO
09/01/2024,318.06,truck6,GB,HVO
09/01/2024,90.26,0,GB,HVO
09/01/2024,117.62,truck8,GB,HVO
09/01/2024,204.58,truck23,GB,HVO
09/01/2024,180.62,truck41,GB,HVO
09/01/2024,84.58,truck22,GB,HVO
09/01/2024,43.13,truck29,GB,HVO
09/01/2024,327.67,truck13,GB,HVO
09/01/2024,62.55,truck20,GB,HVO
09/01/2024,61.23,truck30,GB,HVO
09/01/2024,345.33,truck28,GB,HVO
09/01/2024,126.65,truck39,GB,HVO
09/01/2024,301.56,truck3,GB,HVO
10/01/2024,248.8,truck2,GB,HVO
10/01/2024,199.11,truck1,GB,HVO
10/01/2024,72.65,truck31,GB,HVO
10/01/2024,41.35,truck32,GB,HVO
10/01/2024,38.05,truck24,GB,HVO
10/01/2024,100.55,truck42,GB,HVO
10/01/2024,307.75,truck7,GB,HVO
10/01/2024,37.61,truck13,GB,HVO
10/01/2024,84.99,truck22,GB,HVO
10/01/2024,46.64,truck30,GB,HVO
10/01/2024,41.13,truck29,GB,HVO
10/01/2024,100,truck28,GB,HVO
10/01/2024,59.25,0,GB,HVO
11/01/2024,220.27,truck34,GB,HVO
11/01/2024,211.6,truck43,GB,HVO
11/01/2024,320.15,truck9,GB,HVO
11/01/2024,190.09,truck21,GB,HVO
11/01/2024,47.53,truck32,GB,HVO
11/01/2024,29.02,truck24,GB,HVO
11/01/2024,49.8,truck31,GB,HVO
11/01/2024,360,truck45,GB,HVO
11/01/2024,156.05,truck41,GB,HVO
11/01/2024,90.21,0,GB,HVO
11/01/2024,90.16,0,GB,HVO
11/01/2024,90.48,0,GB,HVO
11/01/2024,340,truck2,GB,HVO
11/01/2024,300.01,truck14,GB,HVO
11/01/2024,37.96,truck29,GB,HVO
11/01/2024,360.03,0,GB,HVO
11/01/2024,227.7,truck23,GB,HVO
11/01/2024,50.07,truck30,GB,HVO
11/01/2024,595.22,truck11,GB,HVO
11/01/2024,106.23,truck22,GB,HVO
11/01/2024,217.87,truck1,GB,HVO
11/01/2024,170.19,truck20,GB,HVO
11/01/2024,72.22,truck9,GB,HVO
12/01/2024,163.13,truck43,GB,HVO
12/01/2024,250.04,truck5,GB,HVO
12/01/2024,213.14,truck39,GB,HVO
12/01/2024,112.87,truck34,GB,HVO
12/01/2024,149.43,truck21,GB,HVO
12/01/2024,57.59,truck32,GB,HVO
12/01/2024,76.07,truck24,GB,HVO
12/01/2024,48.51,truck31,GB,HVO
12/01/2024,0,truck11,GB,HVO
12/01/2024,331.7,truck6,GB,HVO
12/01/2024,217.15,truck47,GB,HVO
12/01/2024,263.12,truck10,GB,HVO
12/01/2024,323.79,truck28,GB,HVO
12/01/2024,9.6,truck28,GB,HVO
12/01/2024,116.02,truck23,GB,HVO
12/01/2024,178.15,truck33,GB,HVO
12/01/2024,98.25,truck22,GB,HVO
12/01/2024,98.32,truck21,GB,HVO
12/01/2024,190.53,truck13,GB,HVO
12/01/2024,538.88,truck12,GB,HVO
12/01/2024,175,truck45,GB,HVO
13/01/2024,330.33,truck44,GB,HVO
14/01/2024,353.07,truck9,GB,HVO
14/01/2024,320.1,0,GB,HVO
15/01/2024,67.56,truck30,GB,HVO
15/01/2024,356.83,truck27,GB,HVO
15/01/2024,349.95,truck26,GB,HVO
15/01/2024,54.2,truck32,GB,HVO
15/01/2024,114.27,truck40,GB,HVO
15/01/2024,78.03,truck24,GB,HVO
15/01/2024,64.14,truck31,GB,HVO
15/01/2024,273.81,truck5,GB,HVO
15/01/2024,32.41,0,GB,HVO
15/01/2024,250,truck8,GB,HVO
15/01/2024,252.71,truck25,GB,HVO
15/01/2024,61.25,truck27,GB,HVO
15/01/2024,279.71,truck7,GB,HVO
15/01/2024,245.1,0,GB,HVO
15/01/2024,95.64,truck33,GB,HVO
15/01/2024,245.29,truck15,GB,HVO
15/01/2024,272.14,truck2,GB,HVO
15/01/2024,160.03,truck28,GB,HVO
15/01/2024,69.65,truck29,GB,HVO
15/01/2024,295.82,truck1,GB,HVO
15/01/2024,105.19,truck21,GB,HVO
16/01/2024,53.25,truck30,GB,HVO
16/01/2024,140.39,truck34,GB,HVO
16/01/2024,38.95,truck32,GB,HVO
16/01/2024,150.14,truck17,GB,HVO
16/01/2024,70.05,truck24,GB,HVO
16/01/2024,78.26,truck31,GB,HVO
16/01/2024,194.69,truck39,GB,HVO
16/01/2024,352.89,truck35,GB,HVO
16/01/2024,138.5,truck23,GB,HVO
16/01/2024,85.17,truck22,GB,HVO
16/01/2024,243.18,truck16,GB,HVO
16/01/2024,32.22,truck29,GB,HVO
16/01/2024,212.34,truck8,GB,HVO
16/01/2024,57.86,truck30,GB,HVO
16/01/2024,55.46,0,GB,HVO
16/01/2024,110.27,truck20,GB,HVO
16/01/2024,140.47,truck21,GB,HVO
17/01/2024,142.47,truck17,GB,HVO
17/01/2024,102.06,truck34,GB,HVO
17/01/2024,40.3,truck32,GB,HVO
17/01/2024,49.72,truck24,GB,HVO
17/01/2024,53.68,truck31,GB,HVO
17/01/2024,335.13,truck9,GB,HVO
17/01/2024,27.59,0,GB,HVO
17/01/2024,351.21,truck6,GB,HVO
17/01/2024,211,truck46,GB,HVO
17/01/2024,208.7,truck16,GB,HVO
17/01/2024,288.09,truck26,GB,HVO
17/01/2024,356.1,truck2,GB,HVO
17/01/2024,43.06,truck29,GB,HVO
17/01/2024,57.07,truck30,GB,HVO
17/01/2024,306.45,truck7,GB,HVO
17/01/2024,315.03,truck45,GB,HVO
17/01/2024,144.62,truck21,GB,HVO
17/01/2024,133.02,truck22,GB,HVO
18/01/2024,111.8,truck39,GB,HVO
18/01/2024,132.24,truck34,GB,HVO
18/01/2024,224.33,truck13,GB,HVO
18/01/2024,225.45,truck28,GB,HVO
18/01/2024,57.13,truck32,GB,HVO
18/01/2024,76.35,truck31,GB,HVO
18/01/2024,58,truck24,GB,HVO
18/01/2024,382.49,truck3,GB,HVO
18/01/2024,73.92,truck40,GB,HVO
18/01/2024,207.19,truck23,GB,HVO
18/01/2024,100.1,truck33,GB,HVO
18/01/2024,155.53,truck41,GB,HVO
18/01/2024,128.73,truck13,GB,HVO
18/01/2024,291.6,truck1,GB,HVO
18/01/2024,274.05,truck10,GB,HVO
18/01/2024,44.14,truck29,GB,HVO
18/01/2024,100.03,truck28,GB,HVO
18/01/2024,0.35,truck2,GB,HVO
