,REG,Week,HVO,Diesel,CLASS,miles,GB,IE,AT,BE,DE,DK,ES,FR,IT,NL,NO,PT,SE,CH,LU,PL,HR,SI,fuel,mpg
1,truck1,2,720.7,0.0,HGV,1485.3369318181817,1485.3369318181817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.7,9.369328947369667
2,truck1,3,587.4200000000001,0.0,HGV,1045.7357954545455,1045.7357954545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.4200000000001,8.093032314796831
3,truck1,4,635.6899999999999,0.0,HGV,1442.5704545454546,1442.5704545454546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,635.6899999999999,10.316435869220133
4,truck1,5,613.99,0.0,HGV,1070.3352272727273,1070.3352272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,613.99,7.924950362957497
5,truck1,6,455.05999999999995,0.0,HGV,1209.7556818181818,1209.7556818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455.05999999999995,12.08556719456076
6,truck1,7,570.1600000000001,0.0,HGV,670.9068181818182,670.9068181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570.1600000000001,5.349380484545008
8,truck1,9,772.71,153.62,HGV,1443.509659090909,1443.509659090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,926.33,7.084219258899735
9,truck1,10,300.06,125.89,HGV,1311.1193181818182,1311.1193181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.95,13.99334762576167
10,truck1,11,913.5,0.0,HGV,1605.7329545454545,1605.7329545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,913.5,7.9910306812583975
11,truck1,12,714.89,0.0,HGV,1320.4306818181817,1320.4306818181817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,714.89,8.396811702928868
12,truck1,13,220.32,0.0,HGV,660.9056818181818,660.9056818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.32,13.637149196880983
13,truck1,14,237.18,200.0,HGV,783.3982954545454,783.3982954545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.18,8.146299366354716
14,truck1,15,465.54999999999995,0.0,HGV,891.4142045454545,891.4142045454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.54999999999995,8.704648697544938
15,truck1,16,309.99,0.0,HGV,1409.1357954545454,1409.1357954545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.99,20.665370329229827
16,truck1,17,762.51,0.0,HGV,1242.009659090909,1242.009659090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,762.51,7.404870350679455
17,truck1,18,616.8,315.63,HGV,1655.0863636363636,1655.0863636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,932.43,8.069422441216645
18,truck1,19,527.12,0.0,HGV,1039.665340909091,1039.665340909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,527.12,8.966482413214086
19,truck1,20,455.32,0.0,HGV,1120.081818181818,1120.081818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455.32,11.183327665857378
21,truck1,22,348.46,0.0,HGV,581.88125,581.88125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.46,7.591357779407968
22,truck1,23,571.88,0.0,HGV,1058.85625,1058.85625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,571.88,8.417248040782157
23,truck1,24,1012.28,0.0,HGV,1521.0676136363636,1521.0676136363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1012.28,6.831025277271246
